target_price,area,floorRange,noOfUnits,typeOfSale,district,typeOfArea,street,project,marketSegment,contract_date_dt,days_since_1st_trans,age_bin,tenure_bin,latitude,longitude
2200000,134.0,Floor 11-15,1,3,19,Strata,KOVAN ROAD,KOVAN RESIDENCES,OCR,2022-10-01,153,"(0.803, 20.7]",99 yrs,1.3610780830618485,103.88525140239527
1900000,117.0,Floor 06-10,1,3,19,Strata,KOVAN ROAD,KOVAN RESIDENCES,OCR,2022-10-01,153,"(0.803, 20.7]",99 yrs,1.3610780830618485,103.88525140239527
1950000,119.0,Floor 11-15,1,3,19,Strata,KOVAN ROAD,KOVAN RESIDENCES,OCR,2022-10-01,153,"(0.803, 20.7]",99 yrs,1.3610780830618485,103.88525140239527
1200000,86.0,Floor 11-15,1,3,27,Strata,YISHUN AVENUE 1,THE ESTUARY,OCR,2022-10-01,153,"(0.803, 20.7]",99 yrs,1.411048263337103,103.8325132450678
1850000,117.0,Floor 01-05,1,3,19,Strata,KOVAN ROAD,KOVAN RESIDENCES,OCR,2022-10-01,153,"(0.803, 20.7]",99 yrs,1.3610780830618485,103.88525140239527
1270000,58.0,Floor 21-25,1,3,3,Strata,DUNDEE ROAD,QUEENS PEAK,RCR,2022-10-01,153,"(0.803, 20.7]",99 yrs,1.294336667488726,103.80702012733846
908000,40.0,Floor 11-15,1,3,3,Strata,DUNDEE ROAD,QUEENS PEAK,RCR,2022-10-01,153,"(0.803, 20.7]",99 yrs,1.294336667488726,103.80702012733846
1370000,109.0,Floor 11-15,1,3,19,Strata,EDGEDALE PLAINS,RIVER ISLES,OCR,2022-10-01,153,"(0.803, 20.7]",99 yrs,1.3970455925093976,103.91371813155966
1750000,137.0,Floor 11-15,1,3,19,Strata,EDGEDALE PLAINS,RIVER ISLES,OCR,2022-10-01,153,"(0.803, 20.7]",99 yrs,1.3970455925093976,103.91371813155966
1600000,128.0,Floor 06-10,1,3,16,Strata,BEDOK RESERVOIR VIEW,THE CLEARWATER,OCR,2022-10-01,153,"(20.7, 40.4]",99 yrs,1.3374009394508386,103.93469854954995
1360000,106.0,Floor 11-15,1,3,19,Strata,EDGEDALE PLAINS,RIVER ISLES,OCR,2022-10-01,153,"(0.803, 20.7]",99 yrs,1.3970455925093976,103.91371813155966
1080000,104.0,Floor 01-05,1,3,27,Strata,YISHUN AVENUE 1,THE ESTUARY,OCR,2022-10-01,153,"(0.803, 20.7]",99 yrs,1.411048263337103,103.8325132450678
1100000,86.0,Floor 06-10,1,3,27,Strata,YISHUN AVENUE 1,THE ESTUARY,OCR,2022-10-01,153,"(0.803, 20.7]",99 yrs,1.411048263337103,103.8325132450678
2115888,109.0,Floor 31-35,1,3,3,Strata,JALAN BUKIT HO SWEE,MERAPRIME,RCR,2022-10-01,153,"(20.7, 40.4]",99 yrs,1.2870585976552187,103.827787531999
1550000,59.0,Floor 16-20,1,3,3,Strata,KIM TIAN ROAD,HIGHLINE RESIDENCES,RCR,2022-10-01,153,"(0.803, 20.7]",99 yrs,1.2840138869086206,103.82975664254391
2140000,94.0,Floor 01-05,1,3,9,Strata,MOUNT SOPHIA,SOPHIA HILLS,CCR,2022-10-01,153,"(0.803, 20.7]",99 yrs,1.3005048366887535,103.84769412298189
1222000,53.0,Floor 01-05,1,3,9,Strata,MOUNT SOPHIA,SOPHIA HILLS,CCR,2022-10-01,153,"(0.803, 20.7]",99 yrs,1.3005048366887535,103.84769412298189
1800000,118.0,Floor 11-15,1,3,19,Strata,KOVAN ROAD,KOVAN RESIDENCES,OCR,2022-10-01,153,"(0.803, 20.7]",99 yrs,1.3610780830618485,103.88525140239527
890000,85.0,Floor 06-10,1,3,22,Strata,LAKEPOINT DRIVE,LAKEPOINT CONDOMINIUM,OCR,2022-10-01,153,"(40.4, 60.1]",99 yrs,1.3418375082593381,103.7183525008836
690000,49.0,Floor 16-20,1,3,23,Strata,PHOENIX ROAD,HILLSTA,OCR,2022-10-01,153,"(0.803, 20.7]",99 yrs,1.3769650257966224,103.75636513326762
910000,40.0,Floor 11-15,1,3,3,Strata,DUNDEE ROAD,QUEENS PEAK,RCR,2022-10-01,153,"(0.803, 20.7]",99 yrs,1.294336667488726,103.80702012733846
908000,41.0,Floor 21-25,1,3,3,Strata,DUNDEE ROAD,QUEENS PEAK,RCR,2022-10-01,153,"(0.803, 20.7]",99 yrs,1.294336667488726,103.80702012733846
1050000,115.0,Floor 01-05,1,3,25,Strata,WOODGROVE DRIVE,WOODGROVE CONDOMINIUM,OCR,2022-10-01,153,"(20.7, 40.4]",99 yrs,1.4292890269951026,103.7829695161197
1714000,108.0,Floor 06-10,1,3,20,Strata,BISHAN STREET 21,BISHAN 8,RCR,2022-10-01,153,"(20.7, 40.4]",99 yrs,1.3494764448904357,103.84703812427306
1060000,92.0,Floor 16-20,1,3,23,Strata,PHOENIX ROAD,HILLSTA,OCR,2022-10-01,153,"(0.803, 20.7]",99 yrs,1.3769650257966224,103.75636513326762
2350000,144.0,Floor 01-05,1,3,13,Strata,MOUNT VERNON ROAD,BARTLEY RIDGE,RCR,2022-10-01,153,"(0.803, 20.7]",99 yrs,1.3410912750446702,103.88145756437615
1160000,90.0,Floor 11-15,1,3,27,Strata,CANBERRA DRIVE,EIGHT COURTYARDS,OCR,2022-10-01,153,"(0.803, 20.7]",99 yrs,1.438788976699242,103.83104275841204
1710000,173.0,Floor 01-05,1,3,27,Strata,CANBERRA DRIVE,CANBERRA RESIDENCES,OCR,2022-10-01,153,"(0.803, 20.7]",99 yrs,1.4448907493299976,103.8251533736201
1210000,71.0,Floor 06-10,1,3,22,Strata,JURONG LAKE LINK,LAKEVILLE,OCR,2022-10-01,153,"(0.803, 20.7]",99 yrs,1.3451369788131922,103.72597121361072
