place_id,name,business_status,geometry,price_level,user_ratings_total,rating,types,vicinity,permanently_closed,lat,lng
ChIJLzxkExIU2jERXExAKjmukpI,Skylace Language School - Yishun Branch,OPERATIONAL,"{'location': {'lat': 1.4167771, 'lng': 103.8346644}, 'viewport': {'northeast': {'lat': 1.418222330291502, 'lng': 103.8359318802915}, 'southwest': {'lat': 1.415524369708498, 'lng': 103.8332339197085}}}",,3.0,5.0,"['school', 'point_of_interest', 'establishment']",846 Yishun Ring Road,,1.4167771,103.8346644
ChIJLzxkExIU2jER9HGZVqdRXaI,Global Art - Khatib,OPERATIONAL,"{'location': {'lat': 1.4167771, 'lng': 103.8346644}, 'viewport': {'northeast': {'lat': 1.418222330291502, 'lng': 103.8359318802915}, 'southwest': {'lat': 1.415524369708498, 'lng': 103.8332339197085}}}",,,,"['school', 'point_of_interest', 'establishment']",846 Yishun Ring Road,,1.4167771,103.8346644
ChIJGwLjPxIU2jERPFZo_zIQhzw,Pro Teach Education Centre,OPERATIONAL,"{'location': {'lat': 1.4169393, 'lng': 103.8344789}, 'viewport': {'northeast': {'lat': 1.418222280291502, 'lng': 103.8357658802915}, 'southwest': {'lat': 1.415524319708498, 'lng': 103.8330679197085}}}",,,,"['school', 'point_of_interest', 'establishment']","846 Yishun Ring Road, Singapore",,1.4169393,103.8344789
ChIJGwLjPxIU2jERRy_MS7YzWZQ,LCentral English (Yishun) - Premier English Specialist,OPERATIONAL,"{'location': {'lat': 1.4166546, 'lng': 103.8345698}, 'viewport': {'northeast': {'lat': 1.417970080291502, 'lng': 103.8357879802915}, 'southwest': {'lat': 1.415272119708498, 'lng': 103.8330900197085}}}",,7.0,4.4,"['primary_school', 'school', 'point_of_interest', 'establishment']","Blk 846 Yishun Ring Road, Yishun New Town, #02-3673 (Above McDonalds, Singapore",,1.4166546,103.8345698
ChIJ0-ZW6xEU2jERkuNbkfZVeFA,Little Green House @ Yishun,OPERATIONAL,"{'location': {'lat': 1.4146974, 'lng': 103.8346957}, 'viewport': {'northeast': {'lat': 1.416172780291502, 'lng': 103.8359628802915}, 'southwest': {'lat': 1.413474819708498, 'lng': 103.8332649197085}}}",,64.0,5.0,"['school', 'point_of_interest', 'establishment']","832 Yishun Street 81, Block 832 Block 832, Singapore",,1.4146974,103.8346957
ChIJFTq61RIU2jERrlvr28fE-MY,Life Community Services Society - Yishun,OPERATIONAL,"{'location': {'lat': 1.420202, 'lng': 103.836127}, 'viewport': {'northeast': {'lat': 1.421628130291502, 'lng': 103.8374988802915}, 'southwest': {'lat': 1.418930169708498, 'lng': 103.8348009197085}}}",,10.0,4.9,"['school', 'point_of_interest', 'establishment']","611 Yishun Street 61, Block 611",,1.420202,103.836127
ChIJ5T_UWREU2jERLVlNFqanRdM,Orchid Park Secondary School,OPERATIONAL,"{'location': {'lat': 1.4152284, 'lng': 103.8380148}, 'viewport': {'northeast': {'lat': 1.416461980291502, 'lng': 103.8393043802915}, 'southwest': {'lat': 1.413764019708498, 'lng': 103.8366064197085}}}",,,,"['secondary_school', 'school', 'point_of_interest', 'establishment']","10 Yishun Street 81, Singapore",,1.4152284,103.8380148
ChIJR8ps-BMU2jERGxVzVS5TG5A,Naval Base Primary School,OPERATIONAL,"{'location': {'lat': 1.4160913, 'lng': 103.8389168}, 'viewport': {'northeast': {'lat': 1.417235280291502, 'lng': 103.8403701802915}, 'southwest': {'lat': 1.414537319708498, 'lng': 103.8376722197085}}}",,,,"['primary_school', 'school', 'point_of_interest', 'establishment']",7 Yishun Avenue 4,,1.4160913,103.8389168
ChIJAQAASBMU2jERzTRlCw1dz-Y,Rainbow Centre Yishun Park School,OPERATIONAL,"{'location': {'lat': 1.4201583, 'lng': 103.8378024}, 'viewport': {'northeast': {'lat': 1.421454080291502, 'lng': 103.8391056802915}, 'southwest': {'lat': 1.418756119708498, 'lng': 103.8364077197085}}}",,17.0,3.8,"['school', 'point_of_interest', 'establishment']",15 Yishun Street 61,,1.4201583,103.8378024
ChIJpzExjpgV2jERtDFqZZQp3WY,MOE Kindergarten @ Naval Base,OPERATIONAL,"{'location': {'lat': 1.4170754, 'lng': 103.838154}, 'viewport': {'northeast': {'lat': 1.418441430291502, 'lng': 103.8395500802915}, 'southwest': {'lat': 1.415743469708498, 'lng': 103.8368521197085}}}",,1.0,4.0,"['school', 'point_of_interest', 'establishment']","7 Yishun Avenue 4, Naval Base Primary School",,1.4170754,103.838154
ChIJ9dy6hBMU2jERPRqHe6GALXc,Apple Tree,OPERATIONAL,"{'location': {'lat': 1.417613, 'lng': 103.8382463}, 'viewport': {'northeast': {'lat': 1.418919980291502, 'lng': 103.8395055802915}, 'southwest': {'lat': 1.416222019708498, 'lng': 103.8368076197085}}}",,,,"['school', 'point_of_interest', 'establishment']","858 Yishun Avenue 4, Block 858, Singapore",,1.417613,103.8382463
ChIJD2ZLNxEU2jERf-Nef3x1Ug8,Jollytots Preschool,OPERATIONAL,"{'location': {'lat': 1.414164, 'lng': 103.838518}, 'viewport': {'northeast': {'lat': 1.415646580291502, 'lng': 103.8399295802915}, 'southwest': {'lat': 1.412948619708498, 'lng': 103.8372316197085}}}",,,,"['school', 'point_of_interest', 'establishment']","865 Yishun Street 81, Block 865, Singapore",,1.414164,103.838518
ChIJn_QpnxEU2jERm7FWj7-w8nQ,Sparkle Tots Preschool,OPERATIONAL,"{'location': {'lat': 1.4146409, 'lng': 103.8364666}, 'viewport': {'northeast': {'lat': 1.416097530291502, 'lng': 103.8378711302915}, 'southwest': {'lat': 1.413399569708498, 'lng': 103.8351731697085}}}",,,,"['school', 'point_of_interest', 'establishment']",Singapore,,1.4146409,103.8364666
