place_id,name,business_status,geometry,price_level,user_ratings_total,rating,types,vicinity,permanently_closed,lat,lng,fetch_date
ChIJlTnDFAAH2jER3UceZLx6dwU,Vita Investment Pte Ltd (Dormitory),OPERATIONAL,"{'location': {'lat': 1.2702167, 'lng': 103.6289635}, 'viewport': {'northeast': {'lat': 1.271543330291502, 'lng': 103.6305173302915}, 'southwest': {'lat': 1.268845369708498, 'lng': 103.6278193697085}}}",,1.0,5.0,"['lodging', 'point_of_interest', 'establishment']","19 Tuas South Link 1, Singapore",,1.2702167,103.6289635,080625
ChIJN9_BKG0Q2jER8LuXg-GNxfQ,CDPL Tuas Dormitory,OPERATIONAL,"{'location': {'lat': 1.2716092, 'lng': 103.6372452}, 'viewport': {'northeast': {'lat': 1.272960680291502, 'lng': 103.6385594802915}, 'southwest': {'lat': 1.270262719708498, 'lng': 103.6358615197085}}}",,1135.0,3.8,"['lodging', 'point_of_interest', 'establishment']",6 Tuas South Street 15,,1.2716092,103.6372452,080625
ChIJ5zwQfAAF2jERuJEf5hsc0A8,PUB Dormitory (Tuas South Lodge),OPERATIONAL,"{'location': {'lat': 1.2688393, 'lng': 103.6374077}, 'viewport': {'northeast': {'lat': 1.270324230291502, 'lng': 103.6388455302915}, 'southwest': {'lat': 1.267626269708498, 'lng': 103.6361475697085}}}",,17.0,4.6,"['lodging', 'point_of_interest', 'establishment']","6B Tuas South Street 15, Singapore",,1.2688393,103.6374077,080625
ChIJJzmZnZ8G2jERRzcaeUMLcjg,Tuas South Dormitory,OPERATIONAL,"{'location': {'lat': 1.2718413, 'lng': 103.633646}, 'viewport': {'northeast': {'lat': 1.273189780291502, 'lng': 103.6350553302915}, 'southwest': {'lat': 1.270491819708498, 'lng': 103.6323573697085}}}",,655.0,4.0,"['lodging', 'point_of_interest', 'establishment']",1 Tuas South Street 12,,1.2718413,103.633646,080625
ChIJ5zwQfAAF2jERuJEf5hsc0A8,PUB Dormitory (Tuas South Lodge),OPERATIONAL,"{'location': {'lat': 1.2688393, 'lng': 103.6374077}, 'viewport': {'northeast': {'lat': 1.270324230291502, 'lng': 103.6388455302915}, 'southwest': {'lat': 1.267626269708498, 'lng': 103.6361475697085}}}",,17.0,4.6,"['lodging', 'point_of_interest', 'establishment']","6B Tuas South Street 15, Singapore",,1.2688393,103.6374077,080625
ChIJN6aND78b2jERJsbFCkvHWGw,MOE Labrador Outdoor Adventure Centre,OPERATIONAL,"{'location': {'lat': 1.2734556, 'lng': 103.7963163}, 'viewport': {'northeast': {'lat': 1.274987480291502, 'lng': 103.7974137802915}, 'southwest': {'lat': 1.272289519708498, 'lng': 103.7947158197085}}}",,134.0,4.1,"['campground', 'lodging', 'park', 'point_of_interest', 'establishment']",45 Pasir Panjang Road,,1.2734556,103.7963163,080625
ChIJiw8lhTwb2jERqAcuPUBYpLc,Cooliv Service Apartment,OPERATIONAL,"{'location': {'lat': 1.2717176, 'lng': 103.7970282}, 'viewport': {'northeast': {'lat': 1.272791280291502, 'lng': 103.7985689802915}, 'southwest': {'lat': 1.270093319708498, 'lng': 103.7958710197085}}}",,85.0,4.1,"['lodging', 'point_of_interest', 'establishment']",5 Pasir Panjang Road,,1.2717176,103.7970282,080625
ChIJn61xXxob2jERWqA54Y2WpNQ,LABRADOR VILLA,OPERATIONAL,"{'location': {'lat': 1.2688912, 'lng': 103.800933}, 'viewport': {'northeast': {'lat': 1.270467180291502, 'lng': 103.8022302302915}, 'southwest': {'lat': 1.267769219708498, 'lng': 103.7995322697085}}}",,,,"['lodging', 'point_of_interest', 'establishment']",20 Labrador Villa Road,,1.2688912,103.800933,080625
ChIJn61xXxob2jERWqA54Y2WpNQ,LABRADOR VILLA,OPERATIONAL,"{'location': {'lat': 1.2688912, 'lng': 103.800933}, 'viewport': {'northeast': {'lat': 1.270467180291502, 'lng': 103.8022302302915}, 'southwest': {'lat': 1.267769219708498, 'lng': 103.7995322697085}}}",,,,"['lodging', 'point_of_interest', 'establishment']",20 Labrador Villa Road,,1.2688912,103.800933,080625
ChIJIYfDbucb2jERxiwFbiBu6jQ,ibis budget Singapore Mount Faber,OPERATIONAL,"{'location': {'lat': 1.2697225, 'lng': 103.8138727}, 'viewport': {'northeast': {'lat': 1.271009680291502, 'lng': 103.8152654802915}, 'southwest': {'lat': 1.268311719708498, 'lng': 103.8125675197085}}}",,401.0,3.9,"['lodging', 'point_of_interest', 'establishment']",400 Telok Blangah Road,,1.2697225,103.8138727,080625
